ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005007490157182,https://ae-pic-a1.aliexpress-media.com/kf/S8b0a385d398240ecaddee0821d5138b8b.jpg,,12 In 1 Screwdriver Set Magnetic Bit Cross Flat Shaped Screwdriver Head Multifunctional Precision Handheld Maintenance Tool Home,UGX 50144,UGX 23006,54%,UGX,7.0,UGX 1610,7.0,UGX 1610,21273,88.7%,https://s.click.aliexpress.com/e/_c3i1pwQH,,,,,,
1005007464508256,https://ae-pic-a1.aliexpress-media.com/kf/Se05000b63158401690e936ccdde368a3Z.png,,Original Military Men Smart Watches Wireless Call Fitness Clock IP68 Swim Waterproof Sport Smartwatch for Women IOS Android 2025,UGX 101536,UGX 93784,7%,UGX,7.0,UGX 6565,7.0,UGX 6565,328,94.2%,https://s.click.aliexpress.com/e/_c2y5XHjT,,,,,,
1005007720902198,https://ae-pic-a1.aliexpress-media.com/kf/S01f3619ae036482082c3cd5c9bcf537eX.jpg,,New Arrival Men Vintage pc Frame Sunglasses Classic Brand Sun Glasses Coating Lens Driving Eyewear for Men women sunglasses,UGX 39409,UGX 17639,55%,UGX,18.0,UGX 3175,18.0,UGX 3175,3071,87.9%,https://s.click.aliexpress.com/e/_c3DEzEzT,,,,,,
1005006054695393,https://ae-pic-a1.aliexpress-media.com/kf/Sf5c57ac1d58e45b7b032f40369f518351.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2676890145/p/1/e/6/t/10301/1100183591691.mp4,SATA to USB 3.0 Adapter Cable for 3.5/2.5 Inch SSD HDD SATA III Hard Drive Disk Converter Support UASP with 12V Power Adapter,UGX 63387,UGX 29628,53%,UGX,3.0,UGX 889,3.0,UGX 889,6055,93.5%,https://s.click.aliexpress.com/e/_c4UWtopj,,,,,,
1005010507330002,https://ae-pic-a1.aliexpress-media.com/kf/S9440e0d131914590a251018d397544c3M.jpg,,"Stylish Corduroy Tote Bag for Women, Large Capacity Plush Shoulder Bag, Versatile Commuter & Travel Bag.",UGX 114754,UGX 53019,53%,UGX,7.0,UGX 3711,7.0,UGX 3711,1434,83.8%,https://s.click.aliexpress.com/e/_c2wAyZLL,,,,,,
1005007419812954,https://ae-pic-a1.aliexpress-media.com/kf/Sc11172d1d04c40f28ee749b37b871acae.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/231054685/p/1/e/6/t/10301/1100131739196.mp4,Terios T3 X3 Wireless Joystick Gamepad PC Game Controller for PS3/IOS Phone/TV Box For Nintendo Switch Accessories,UGX 119363,UGX 55231,53%,UGX,7.0,UGX 3866,7.0,UGX 3866,1183,90.4%,https://s.click.aliexpress.com/e/_c4FExOVj,,,,,,
1005008530350568,https://ae-pic-a1.aliexpress-media.com/kf/Sbb06692bb1f84f3da128a8929acf16a24.jpg,,2026 Smart Watch Android IOS Phone 2.01 Inch Color Screen Bluetooth Answer Call Fitness Watches Tracker Smartwatch Women Men,UGX 81728,UGX 37979,53%,UGX,7.0,UGX 2659,7.0,UGX 2659,2396,89.3%,https://s.click.aliexpress.com/e/_c2zL3fPj,,,,,,
1005007021015396,https://ae-pic-a1.aliexpress-media.com/kf/S9acb1a835ed64a68a411003140342648P.jpg,,Carving Hair Clipper Professional Hair Cutting Machine Barber Rechargeable Hair Trimmer Metal Haircut Machine Clipper for Men,UGX 37037,UGX 4090,88%,UGX,7.0,UGX 286,7.0,UGX 286,14495,83.3%,https://s.click.aliexpress.com/e/_c3EqcA4t,,,,,,
1005007877140628,https://ae-pic-a1.aliexpress-media.com/kf/S4bea25d738d043c096262796d21eace1z.jpg,,100W Car Charger USB Fast Charging For IPhone QC3.0 Mini PD USB Type C Charger Car Phone Charger For Samsung Huawei XiaoMi,UGX 8846,UGX 4090,53%,UGX,7.0,UGX 286,7.0,UGX 286,3543,89.9%,https://s.click.aliexpress.com/e/_c32I6unr,,,,,,
1005006769958544,https://ae-pic-a1.aliexpress-media.com/kf/Sc56a41ce105545a592835329d3ec9d68f.jpg,,"Leg Elevation Pillows,Inflatable Leg Pillows for Swelling, Portable Wedge Pillow for Improve Circulataion and Reduce Swelling",UGX 175193,UGX 85530,51%,UGX,7.0,UGX 5987,7.0,UGX 5987,961,91.7%,https://s.click.aliexpress.com/e/_c3BBcvYV,,,,,,
